T: 2.250000   E_avg: -38.522100   E_exp: -41.732165   Diff: 3.210065   M^2_avg: 244.205200   M^2_exp: 243.242545
T: 2.260000   E_avg: -38.256100   E_exp: -41.569624   Diff: 3.313524   M^2_avg: 247.633600   M^2_exp: 242.287718
T: 2.270000   E_avg: -38.125300   E_exp: -41.408253   Diff: 3.282953   M^2_avg: 239.449200   M^2_exp: 241.345002
T: 2.280000   E_avg: -38.029700   E_exp: -41.248040   Diff: 3.218340   M^2_avg: 239.628800   M^2_exp: 240.414176
T: 2.290000   E_avg: -37.862500   E_exp: -41.088974   Diff: 3.226474   M^2_avg: 244.866000   M^2_exp: 239.495022
T: 2.300000   E_avg: -37.764900   E_exp: -40.931044   Diff: 3.166144   M^2_avg: 240.782000   M^2_exp: 238.587329
T: 2.310000   E_avg: -37.423300   E_exp: -40.774239   Diff: 3.350939   M^2_avg: 232.929600   M^2_exp: 237.690891
T: 2.320000   E_avg: -37.172900   E_exp: -40.618548   Diff: 3.445648   M^2_avg: 234.563200   M^2_exp: 236.805505
T: 2.330000   E_avg: -37.167700   E_exp: -40.463960   Diff: 3.296260   M^2_avg: 241.954800   M^2_exp: 235.930975
T: 2.340000   E_avg: -36.921700   E_exp: -40.310465   Diff: 3.388765   M^2_avg: 233.106800   M^2_exp: 235.067108
T: 2.350000   E_avg: -36.893300   E_exp: -40.158051   Diff: 3.264751   M^2_avg: 234.793200   M^2_exp: 234.213716
T: 2.360000   E_avg: -36.482900   E_exp: -40.006710   Diff: 3.523810   M^2_avg: 233.130000   M^2_exp: 233.370615
T: 2.370000   E_avg: -36.658500   E_exp: -39.856430   Diff: 3.197930   M^2_avg: 230.719200   M^2_exp: 232.537626
T: 2.380000   E_avg: -36.560500   E_exp: -39.707201   Diff: 3.146701   M^2_avg: 230.814400   M^2_exp: 231.714572
T: 2.390000   E_avg: -36.190900   E_exp: -39.559013   Diff: 3.368113   M^2_avg: 231.820000   M^2_exp: 230.901282
T: 2.400000   E_avg: -36.237700   E_exp: -39.411857   Diff: 3.174157   M^2_avg: 224.163600   M^2_exp: 230.097589
T: 2.410000   E_avg: -35.874500   E_exp: -39.265722   Diff: 3.391222   M^2_avg: 227.375600   M^2_exp: 229.303328
T: 2.420000   E_avg: -35.790100   E_exp: -39.120598   Diff: 3.330498   M^2_avg: 225.839200   M^2_exp: 228.518339
T: 2.430000   E_avg: -35.737300   E_exp: -38.976477   Diff: 3.239177   M^2_avg: 223.038800   M^2_exp: 227.742466
T: 2.440000   E_avg: -35.626100   E_exp: -38.833348   Diff: 3.207248   M^2_avg: 231.712400   M^2_exp: 226.975553
T: 2.450000   E_avg: -35.426900   E_exp: -38.691202   Diff: 3.264302   M^2_avg: 226.150400   M^2_exp: 226.217453
T: 2.460000   E_avg: -35.375700   E_exp: -38.550030   Diff: 3.174330   M^2_avg: 224.963600   M^2_exp: 225.468017
T: 2.470000   E_avg: -35.241700   E_exp: -38.409822   Diff: 3.168122   M^2_avg: 224.596800   M^2_exp: 224.727102
T: 2.480000   E_avg: -34.980900   E_exp: -38.270570   Diff: 3.289670   M^2_avg: 223.014000   M^2_exp: 223.994567
T: 2.490000   E_avg: -34.958900   E_exp: -38.132264   Diff: 3.173364   M^2_avg: 226.341200   M^2_exp: 223.270276
T: 2.500000   E_avg: -34.414900   E_exp: -37.994896   Diff: 3.579996   M^2_avg: 222.144800   M^2_exp: 222.554093
T: 2.510000   E_avg: -34.546500   E_exp: -37.858457   Diff: 3.311957   M^2_avg: 221.630800   M^2_exp: 221.845886
T: 2.520000   E_avg: -34.568500   E_exp: -37.722938   Diff: 3.154438   M^2_avg: 223.001200   M^2_exp: 221.145527
T: 2.530000   E_avg: -34.119300   E_exp: -37.588330   Diff: 3.469030   M^2_avg: 220.254400   M^2_exp: 220.452890
T: 2.540000   E_avg: -34.107300   E_exp: -37.454625   Diff: 3.347325   M^2_avg: 223.963600   M^2_exp: 219.767850
T: 2.550000   E_avg: -34.096500   E_exp: -37.321815   Diff: 3.225315   M^2_avg: 216.865600   M^2_exp: 219.090286
T: 2.560000   E_avg: -33.994900   E_exp: -37.189891   Diff: 3.194991   M^2_avg: 218.060400   M^2_exp: 218.420081
T: 2.570000   E_avg: -33.732100   E_exp: -37.058845   Diff: 3.326745   M^2_avg: 220.199600   M^2_exp: 217.757118
T: 2.580000   E_avg: -33.500100   E_exp: -36.928669   Diff: 3.428569   M^2_avg: 217.271600   M^2_exp: 217.101283
T: 2.590000   E_avg: -33.537700   E_exp: -36.799355   Diff: 3.261655   M^2_avg: 214.793200   M^2_exp: 216.452464
